"Macrosettore","Provincia","Comune","Inquinante","Valore"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","ARMUNGIA","As ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","ASSEMINI","As ( kg ) ","3.8622"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","BALLAO","As ( kg ) ","0.0001"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","BARRALI","As ( kg ) ","0.0001"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","BURCEI","As ( kg ) ","0.0003"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","CAGLIARI","As ( kg ) ","0.1115"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","CAPOTERRA","As ( kg ) ","0"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","CASTIADAS","As ( kg ) ","0.0004"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","DECIMOMANNU","As ( kg ) ","0.0023"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","DECIMOPUTZU","As ( kg ) ","0.0011"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","DOLIANOVA","As ( kg ) ","0.0035"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","DOMUS DE MARIA","As ( kg ) ","0.0002"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","DONORI","As ( kg ) ","0.0017"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","ELMAS","As ( kg ) ","0.0068"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","ESCALAPLANO","As ( kg ) ","0.0005"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","ESCOLCA","As ( kg ) ","0.0003"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","ESTERZILI","As ( kg ) ","0.0001"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","GERGEI","As ( kg ) ","0.0005"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","GESICO","As ( kg ) ","0.0001"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","GONI","As ( kg ) ","0.0001"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","GUAMAGGIORE","As ( kg ) ","0.0004"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","GUASILA","As ( kg ) ","0.0018"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","ISILI","As ( kg ) ","0.0031"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","MANDAS","As ( kg ) ","0.0004"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","MARACALAGONIS","As ( kg ) ","0.0026"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","MONASTIR","As ( kg ) ","0.0069"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","MONSERRATO","As ( kg ) ","0.0037"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","MURAVERA","As ( kg ) ","0.002"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","NURAGUS","As ( kg ) ","0.0003"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","NURALLAO","As ( kg ) ","0.0003"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","NURAMINIS","As ( kg ) ","0.0053"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","NURRI","As ( kg ) ","0.0019"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","ORROLI","As ( kg ) ","0.0005"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","ORTACESUS","As ( kg ) ","0.0016"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","PIMENTEL","As ( kg ) ","0.0004"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","PULA","As ( kg ) ","0.002"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","QUARTU SANT'ELENA","As ( kg ) ","0.0254"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","QUARTUCCIU","As ( kg ) ","0.0038"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SADALI","As ( kg ) ","0.0002"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SAMATZAI","As ( kg ) ","1.504"
"Impianti di combustione industriale e processi con combustione","CAGLIARI","SAN BASILIO","As ( kg ) ","0.0002"
